3.25500000e+03 3.20740500e+03 3.53206000e+02
1.61100000e+03 1.58132110e+03 1.79091000e+02
8.76000000e+02 8.30803070e+02 9.77124000e+01
4.67000000e+02 4.74712320e+02 6.25286000e+01
2.82000000e+02 2.75075420e+02 3.57788000e+01
1.78000000e+02 1.76010890e+02 2.59187000e+01
1.15000000e+02 1.05579540e+02 1.45396000e+01
7.10000000e+01 6.76262110e+01 9.55914000e+00
4.00000000e+01 4.50171690e+01 6.64664000e+00
4.10000000e+01 3.19675760e+01 5.71140000e+00
3.30000000e+01 2.05485130e+01 3.28720000e+00
2.90000000e+01 3.23912687e+01 3.48169311e+00
1.10000000e+01 1.34875416e+01 2.10756589e+00
1.10000000e+01 8.35102365e+00 9.53661747e-01
